Classifier,Params,Cross Val,Sample_Size,Accuracy,conf_Matrix,Competition_Error,Scaled_Error,COMMENTS
KNeighborsClassifier,"{'metric_params': None, 'leaf_size': 30, 'weights': 'uniform', 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'n_jobs': 8, 'algorithm': 'auto'}",False,139489,0.5475342142,"[[35384 31722    61     2     0     0]
 [31036 40981    72     1     0     1]
 [   74   136     7     0     0     0]
 [    3     3     0     2     0     0]
 [    1     0     0     0     0     0]
 [    1     1     0     0     0     1]]",63276,316379.591735,
Ensemble,"{'metric_params': None, 'leaf_size': 30, 'weights': 'uniform', 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'n_jobs': 8, 'algorithm': 'auto'}",True,139489,0.75485,"[[44870 22299     0     0     0     0]
 [11668 60421     0     1     0     1]
 [   26   190     1     0     0     0]
 [    1     5     1     1     0     0]
 [    0     1     0     0     0     0]
 [    1     1     1     0     0     0]]",34244,171219.779053,
XGBClassifier,"{'subsample': 0.9, 'seed': 1, 'reg_lambda': 1, 'scale_pos_weight': 1, 'colsample_bylevel': 1, 'nthread': 8, 'learning_rate': 0.1, 'objective': 'multi:softmax', 'min_child_weight': 1, 'n_estimators': 250, 'max_delta_step': 0, 'base_score': 0.5, 'colsample_bytree': 1, 'gamma': 0, 'reg_alpha': 0, 'max_depth': 8, 'silent': 1, 'missing': None}",False,136679,0.629474901,"[[32487 31854    34     1     0     1]
 [18491 53506    66     0     0     0]
 [   75   101    41     1     0     0]
 [    7     4     2     2     1     0]
 [    2     0     0     0     0     0]
 [    2     0     0     1     0     0]]",50791,253954.888517,
RandomForestClassifier,"{'verbose': 0, 'min_samples_split': 2, 'n_jobs': 8, 'random_state': 1, 'max_leaf_nodes': None, 'warm_start': False, 'min_samples_leaf': 1, 'n_estimators': 300, 'class_weight': {0: 2, 1: 1}, 'criterion': 'gini', 'oob_score': False, 'max_features': 'auto', 'bootstrap': True, 'max_depth': 8, 'min_weight_fraction_leaf': 0.0}",False,136679,0.5050812488,"[[61676  2701     0     0     0     0]
 [64705  7358     0     0     0     0]
 [  123    95     0     0     0     0]
 [   12     4     0     0     0     0]
 [    2     0     0     0     0     0]
 [    3     0     0     0     0     0]]",67814,339069.851153,
ExtraTreesClassifier,"{'verbose': 0, 'min_samples_split': 2, 'n_jobs': 8, 'random_state': 1, 'max_leaf_nodes': None, 'warm_start': False, 'min_samples_leaf': 1, 'n_estimators': 300, 'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'oob_score': False, 'max_features': 'auto', 'bootstrap': False, 'max_depth': 8, 'min_weight_fraction_leaf': 0.0}",False,136679,0.5403975739,"[[ 2281 62096     0     0     0     0]
 [  483 71580     0     0     0     0]
 [   12   206     0     0     0     0]
 [    4    12     0     0     0     0]
 [    1     1     0     0     0     0]
 [    2     1     0     0     0     0]]",62866,314329.862013,
KNeighborsClassifier,"{'n_jobs': 8, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'weights': 'uniform', 'leaf_size': 30, 'n_neighbors': 1, 'metric': 'minkowski'}",False,136679,0.5494113946,"[[33584 30727    64     1     0     1]
 [30469 41506    86     1     1     0]
 [   82   132     3     1     0     0]
 [    5    10     1     0     0     0]
 [    0     2     0     0     0     0]
 [    0     1     1     1     0     0]]",61771,308854.864417,
Ensemble,"{'n_jobs': 8, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'weights': 'uniform', 'leaf_size': 30, 'n_neighbors': 1, 'metric': 'minkowski'}",True,136679,0.6296,"[[32473 31902     1     0     0     1]
 [18485 53578     0     0     0     0]
 [   75   143     0     0     0     0]
 [    8     6     0     2     0     0]
 [    2     0     0     0     0     0]
 [    2     0     0     1     0     0]]",50743,253714.888622,
XGBClassifier,"{'max_delta_step': 0, 'missing': None, 'scale_pos_weight': 1, 'colsample_bytree': 1, 'base_score': 0.5, 'silent': 1, 'subsample': 0.9, 'colsample_bylevel': 1, 'seed': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'gamma': 0, 'objective': 'multi:softprob', 'max_depth': 8, 'nthread': 8, 'learning_rate': 0.1, 'n_estimators': 250, 'min_child_weight': 1}",False,60210,0.667563527653,"[[15858 12660    13     0     0     0]
 [ 7244 24317    15     0     0     0]
 [   27    49    18     0     0     0]
 [    2     1     2     1     0     0]
 [    1     1     0     0     0     0]
 [    0     1     0     0     0     0]]",20069,100344.700012
RandomForestClassifier,"{'max_features': 'auto', 'min_samples_leaf': 1, 'random_state': 1, 'bootstrap': True, 'n_jobs': 8, 'criterion': 'gini', 'min_samples_split': 2, 'max_leaf_nodes': None, 'min_weight_fraction_leaf': 0.0, 'class_weight': {0: 2, 1: 1}, 'verbose': 0, 'max_depth': 8, 'oob_score': False, 'warm_start': False, 'n_estimators': 300}",False,60210,0.54705198472,"[[26870  1661     0     0     0     0]
 [25508  6068     0     0     0     0]
 [   64    30     0     0     0     0]
 [    4     2     0     0     0     0]
 [    1     1     0     0     0     0]
 [    1     0     0     0     0     0]]",27355,136774.591102
ExtraTreesClassifier,"{'max_features': 'auto', 'min_samples_leaf': 1, 'random_state': 1, 'bootstrap': False, 'n_jobs': 8, 'criterion': 'gini', 'min_samples_split': 2, 'max_leaf_nodes': None, 'min_weight_fraction_leaf': 0.0, 'class_weight': {0: 1, 1: 2}, 'verbose': 0, 'max_depth': 8, 'oob_score': False, 'warm_start': False, 'n_estimators': 300}",False,60210,0.538963627304,"[[ 1060 27471     0     0     0     0]
 [  185 31391     0     0     0     0]
 [    7    87     0     0     0     0]
 [    0     6     0     0     0     0]
 [    0     2     0     0     0     0]
 [    0     1     0     0     0     0]]",27779,138894.584764
KNeighborsClassifier,"{'metric_params': None, 'weights': 'uniform', 'metric': 'minkowski', 'algorithm': 'auto', 'leaf_size': 30, 'n_jobs': 8, 'n_neighbors': 1, 'p': 2}",False,60210,0.540109616343,"[[14626 13872    32     1     0     0]
 [13642 17891    41     2     0     0]
 [   40    52     2     0     0     0]
 [    3     2     0     1     0     0]
 [    1     1     0     0     0     0]
 [    0     0     0     1     0     0]]",27780,138899.584749
Ensemble,"{'metric_params': None, 'weights': 'uniform', 'metric': 'minkowski', 'algorithm': 'auto', 'leaf_size': 30, 'n_jobs': 8, 'n_neighbors': 1, 'p': 2}",True,60210,0.66756,"[[15837 12691     3     0     0     0]
 [ 7218 24354     4     0     0     0]
 [   30    61     3     0     0     0]
 [    2     2     1     0     0     1]
 [    1     1     0     0     0     0]
 [    0     1     0     0     0     0]]",20064,100319.700087
XGBClassifier,"{'min_child_weight': 1, 'nthread': 8, 'reg_alpha': 0, 'base_score': 0.5, 'objective': 'multi:softprob', 'scale_pos_weight': 1, 'max_delta_step': 0, 'max_depth': 8, 'colsample_bylevel': 1, 'n_estimators': 250, 'silent': 1, 'seed': 1, 'learning_rate': 0.1, 'subsample': 0.9, 'gamma': 0, 'colsample_bytree': 1, 'reg_lambda': 1, 'missing': None}",False,91360,0.670961033275,"[[23785 19260    12     0     0     0]
 [10636 37476    38     0     0     0]
 [   33    71    37     2     1     0]
 [    5     1     1     1     0     0]
 [    0     0     1     0     0     0]
 [    0     0     0     0     0     0]]",30119,150594.802195
